Thu Nov 16 17:50:24 2023

        Time,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),      Tsample,     Tcontrol,         Tset,    1/Tsample,            H
           s,           Vs,          emu,     emu/cm^3,        emu/g,            K,            K,            K,            K,          1/K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
7.610156E+01 2.333943E-05 1.089892E-01 4.560218E+02 5.116864E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 9.987000E-01 
1.289219E+02 2.339221E-05 1.092357E-01 4.570530E+02 5.128435E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 9.514000E-01 
1.821406E+02 2.341256E-05 1.093307E-01 4.574505E+02 5.132895E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 9.012000E-01 
2.339609E+02 2.286166E-05 1.067581E-01 4.466867E+02 5.012119E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 8.512000E-01 
2.863906E+02 2.306179E-05 1.076927E-01 4.505969E+02 5.055993E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 8.010000E-01 
3.396211E+02 2.270391E-05 1.060215E-01 4.436045E+02 4.977535E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 7.509000E-01 
3.932500E+02 2.260545E-05 1.055617E-01 4.416808E+02 4.955948E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 7.008000E-01 
4.472617E+02 2.198441E-05 1.026616E-01 4.295464E+02 4.819793E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 6.508000E-01 
5.030898E+02 2.183009E-05 1.019410E-01 4.265313E+02 4.785961E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 6.006000E-01 
5.590820E+02 2.086398E-05 9.742947E-02 4.076547E+02 4.574154E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 5.506000E-01 
6.165117E+02 2.024790E-05 9.455253E-02 3.956173E+02 4.439086E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 5.005000E-01 
6.741602E+02 1.941943E-05 9.068378E-02 3.794300E+02 4.257454E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 4.505000E-01 
7.326328E+02 1.809559E-05 8.450181E-02 3.535640E+02 3.967221E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 4.004000E-01 
7.928828E+02 1.690903E-05 7.896087E-02 3.303802E+02 3.707083E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 3.503000E-01 
8.551094E+02 1.545552E-05 7.217335E-02 3.019806E+02 3.388420E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 3.002000E-01 
9.179297E+02 1.389917E-05 6.490557E-02 2.715714E+02 3.047210E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 2.502000E-01 
9.837422E+02 1.193180E-05 5.571844E-02 2.331316E+02 2.615889E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 2.001000E-01 
1.054172E+03 9.739224E-06 4.547969E-02 1.902916E+02 2.135197E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 1.501000E-01 
1.126602E+03 7.332204E-06 3.423952E-02 1.432616E+02 1.607489E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 1.000000E-01 
1.204832E+03 4.641098E-06 2.167274E-02 9.068094E+01 1.017500E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 5.000000E-02 
1.307043E+03 1.143092E-06 5.337949E-03 2.233451E+01 2.506079E+00 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 0.000000E+00 
1.384281E+03 -4.081257E-06 -1.905843E-02 -7.974237E+01 -8.947619E+00 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -5.000000E-02 
1.457508E+03 -7.754131E-06 -3.620982E-02 -1.515055E+02 -1.699991E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -1.000000E-01 
1.526570E+03 -1.023962E-05 -4.781644E-02 -2.000688E+02 -2.244903E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -1.500000E-01 
1.591992E+03 -1.263600E-05 -5.900690E-02 -2.468908E+02 -2.770277E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -1.998000E-01 
1.656211E+03 -1.439498E-05 -6.722088E-02 -2.812589E+02 -3.155910E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -2.498000E-01 
1.717039E+03 -1.624517E-05 -7.586080E-02 -3.174092E+02 -3.561540E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -2.998000E-01 
1.777852E+03 -1.785549E-05 -8.338060E-02 -3.488728E+02 -3.914582E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -3.497000E-01 
1.835875E+03 -1.894167E-05 -8.845279E-02 -3.700954E+02 -4.152713E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -3.996000E-01 
1.893078E+03 -2.050276E-05 -9.574264E-02 -4.005968E+02 -4.494960E+01 2.934000E+02 2.934000E+02 2.934000E+02          --- 3.408316E-03 -4.496000E-01 
